time,location,temperature_2m (°C),relative_humidity_2m (%),heat_index (°C),hour,heat_index,destination,city,latitude,longitude
2025-11-15T02:00:00,,25.7,87.0,,2,27.235613759457824,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T03:00:00,,25.7,87.0,,3,27.235613759457824,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T04:00:00,,25.4,89.0,,4,26.57246453089784,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T05:00:00,,25.3,90.0,,5,26.337829740184457,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T06:00:00,,25.1,91.0,,6,25.859370887315503,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T07:00:00,,25.5,89.0,,7,26.80267779577785,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T08:00:00,,26.3,85.0,,8,28.531415670995614,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T09:00:00,,26.9,84.0,,9,29.880478389331,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T10:00:00,,28.4,75.0,,10,32.25915318247125,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T11:00:00,,30.1,68.0,,11,34.7963550685846,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T12:00:00,,30.6,65.0,,12,35.21891191607106,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T13:00:00,,31.0,63.0,,13,35.6165008484444,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T14:00:00,,30.9,61.0,,14,34.88114928571564,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T15:00:00,,30.0,65.0,,15,33.88214561111116,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T16:00:00,,29.3,68.0,,16,32.99739132330451,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T17:00:00,,28.9,70.0,,17,32.50994487721562,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T18:00:00,,28.2,74.0,,18,31.64868504519108,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T19:00:00,,27.6,80.0,,19,31.121516145937942,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T20:00:00,,27.0,86.0,,20,30.323923728444413,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T21:00:00,,26.6,88.0,,21,29.464550599395736,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T22:00:00,,26.1,88.0,,22,28.205655600495746,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T23:00:00,,26.0,86.0,,23,27.888363300444457,Smart Araneta Coliseum,Quezon City,14.65,121.05
2025-11-15T00:00:00,,25.8,88.0,,0,27.48741907651568,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T01:00:00,,25.4,90.0,,1,26.571256582204487,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T02:00:00,,25.7,87.0,,2,27.235613759457824,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T03:00:00,,25.7,87.0,,3,27.235613759457824,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T04:00:00,,25.4,89.0,,4,26.57246453089784,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T05:00:00,,25.3,90.0,,5,26.337829740184457,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T06:00:00,,25.1,91.0,,6,25.859370887315503,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T07:00:00,,25.5,89.0,,7,26.80267779577785,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T08:00:00,,26.3,85.0,,8,28.531415670995614,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T09:00:00,,26.9,84.0,,9,29.880478389331,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T10:00:00,,28.4,75.0,,10,32.25915318247125,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T11:00:00,,30.1,68.0,,11,34.7963550685846,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
2025-11-15T12:00:00,,30.6,65.0,,12,35.21891191607106,"Smart Araneta Coliseum, General Roxas Avenue, Cubao, Quezon City, Metro Manila, Philippines",Quezon City,14.65,121.05
